gameId,timestamp,duration_ticks,peak_multiplier,final_price,is_instarug,total_trades,unique_players,buy_orders,sell_orders,buy_sell_ratio,players_actually_trading,avg_trades_per_player,avg_volume_per_player,top_player_volume_ratio,profitable_players,profitable_player_ratio,total_profits,total_losses,profit_loss_ratio,early_entry_players,late_entry_players,early_entry_ratio,avg_player_level,high_level_players,high_level_ratio,scalpers,whales,hodlers,flippers,early_birds,late_joiners,regular_traders,duration_risk,concentration_risk,activity_risk,composite_risk_score
20250706-3613683dce984f95,2025-07-06T00:33:03.915Z,75,1.706,1.429684,False,29,14,21,8,2.625,14,2.07,0.435,0.655,2,0.143,0.533,1.218,0.438,1,11,0.071,27.9,5,0.357,0,0,11,0,1,2,0,0.85,0.655,0.29,0.624
20250706-e72dafff53b64143,2025-07-06T00:33:38.817Z,473,1.476,0.119576,False,129,25,78,51,1.529,25,5.16,2.102,0.631,12,0.48,2.035,2.225,0.914,18,4,0.72,28.8,8,0.32,0,0,7,2,12,3,1,0.054,0.631,1,0.511
20250706-a2885116c6424f9f,2025-07-06T00:35:53.444Z,685,16.865,6.726768,False,180,33,90,90,1.0,33,5.45,0.526,0.343,18,0.545,7.407,1.842,4.02,14,4,0.424,30.4,14,0.424,1,0,7,2,11,3,9,0,0.343,1,0.403
20250706-702e5177ccf74286,2025-07-06T00:39:02.016Z,580,8.419,1.459571,False,155,38,77,78,0.987,38,4.08,0.478,0.263,21,0.553,6.766,2.376,2.847,13,13,0.342,27.8,14,0.368,1,0,11,2,9,7,8,0,0.263,1,0.379
20250706-48e2d8acc49a4475,2025-07-06T00:41:44.259Z,51,1.459,1.459235,False,21,12,15,6,2.5,12,1.75,0.365,0.313,3,0.25,0.219,1.864,0.117,2,9,0.167,36.4,6,0.5,0,1,7,1,1,2,0,0.898,0.313,0.21,0.516
20250706-fd3750343ab34abe,2025-07-06T00:42:12.827Z,170,1.478,0.624207,False,51,27,35,16,2.188,27,1.89,0.356,0.22,8,0.296,1.285,2.524,0.509,7,5,0.259,30.9,10,0.37,0,0,17,1,3,0,6,0.66,0.22,0.51,0.483
20250706-6735221ccb5740d9,2025-07-06T00:43:11.451Z,501,5.782,5.630856,False,137,31,71,66,1.076,31,4.42,0.771,0.54,14,0.452,6.382,2.641,2.417,9,2,0.29,29.9,11,0.355,0,0,12,3,5,0,11,0,0.54,1,0.462
20250706-9961128673484720,2025-07-06T00:45:39.543Z,86,1.614,1.152343,False,31,14,20,11,1.818,14,2.21,0.605,0.524,2,0.143,1.566,3.976,0.394,4,10,0.286,34.6,6,0.429,0,0,10,0,3,1,0,0.828,0.524,0.31,0.582
20250706-e1f7464d0983464d,2025-07-06T00:46:17.350Z,168,2.523,2.518857,False,52,19,29,23,1.261,19,2.74,0.95,0.389,8,0.421,1.521,3.191,0.477,5,1,0.263,30.8,8,0.421,0,1,10,0,2,1,5,0.664,0.389,0.52,0.538
20250706-4bc6252afc934fd6,2025-07-06T00:47:15.601Z,110,1.68,0.662076,False,37,17,22,15,1.467,17,2.18,0.744,0.469,5,0.294,2.102,0.754,2.787,5,10,0.294,29.2,7,0.412,0,1,12,1,2,0,1,0.78,0.469,0.37,0.564
20250706-dcf1151e0d4744ee,2025-07-06T00:47:59.381Z,94,1.537,1.327556,False,32,15,21,11,1.909,15,2.13,0.566,0.514,4,0.267,0.922,2.064,0.447,2,11,0.133,34.3,8,0.533,0,0,10,0,2,3,0,0.812,0.514,0.32,0.575
20250706-e0c34918f6ba4db6,2025-07-06T00:48:39.063Z,7,1.018,1.001559,True,11,11,10,1,10.0,11,1,0.047,0.387,1,0.091,0.021,0.496,0.042,1,10,0.091,31.4,4,0.364,0,0,10,0,1,0,0,0.986,0.387,0.11,0.543
20250706-638d7e5a1f534c6d,2025-07-06T00:48:56.870Z,25,1.031,0.802604,False,16,14,13,3,4.333,14,1.14,0.293,0.443,3,0.214,0.217,1.505,0.144,2,0,0.143,32.2,6,0.429,0,1,11,0,1,0,1,0.95,0.443,0.16,0.561
20250706-e2cdb94104e24043,2025-07-06T00:49:19.282Z,1334,2.213,0.310886,False,338,47,173,165,1.048,47,7.19,6.391,0.806,28,0.596,8.549,4.43,1.93,33,6,0.702,31.6,20,0.426,1,1,8,4,23,4,6,0,0.806,1,0.542
20250706-c78ab00089a34ac5,2025-07-06T00:55:10.858Z,1334,1,1,False,10,10,10,0,10.0,10,1,0.035,0.282,0,0.0,0,0.354,0.0,0,10,0.0,29.8,4,0.4,0,0,10,0,0,0,0,0,0.282,0.1,0.115
20250706-40e465fc24314393,2025-07-06T00:55:27.154Z,152,1.999,0.909691,False,48,22,23,25,0.92,22,2.18,0.353,0.243,11,0.5,1.874,0.749,2.503,14,3,0.636,29.7,8,0.364,0,1,8,2,6,1,4,0.696,0.243,0.48,0.495
